campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;160;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;208;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;267;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;161;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;121;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;236;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;222;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;28;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;32;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;39;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;139;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;209;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;184;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;244;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;260;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;96;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;9;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;6;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;8;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;122;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;163;
