NOME_CURSO,Nº de alunos,Abandono,Cancelamento,Classificado e não matriculado,Desligamento,Transferido,Campus
CURSO DE CIENCIA DA COMPUTACAO,8,7,,1,,,Alegrete
CURSO DE ENGENHARIA CIVIL,11,11,,,,,Alegrete
CURSO DE ENGENHARIA ELETRICA,7,7,,,,,Alegrete
CURSO DE ENGENHARIA DE ALIMENTOS,13,5,,,5,3,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,12,7,2,,3,,Bagé
CURSO DE ENGENHARIA DE PRODUCAO,6,5,1,,,,Bagé
CURSO DE ENGENHARIA QUIMICA,6,5,,,1,,Bagé
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,2,2,,,,,Bagé
CURSO DE LICENCIATURA EM FISICA,11,9,2,,,,Bagé
CURSO DE LICENCIATURA EM MATEMATICA,5,5,,,,,Bagé
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,4,2,,,2,,Bagé
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,1,,,,1,,Bagé
CURSO DE LICENCIATURA EM QUIMICA,13,11,,,2,,Bagé
CURSO DE GEOFISICA,5,4,,,1,,Caçapava do Sul
CURSO DE ZOOTECNIA,1,,,,1,,Dom Pedrito
CURSO DE AGRONOMIA,10,10,,,,,Itaqui
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,2,,,,2,,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,7,7,,,,,Jaguarão
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,8,6,1,,1,,Jaguarão
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,2,2,,,,,Jaguarão
CURSO DE JORNALISMO,7,7,,,,,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,7,7,,,,,São Borja
CURSO DE SERVICO SOCIAL,4,4,,,,,São Borja
CURSO DE ENGENHARIA FLORESTAL,9,9,,,,,São Gabriel
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM(128.UNI),7,7,,,,,São Gabriel
CURSO DE GESTAO AMBIENTAL,12,12,,,,,São Gabriel
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,4,2,2,,,,Santana do Livramento
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,6,4,2,,,,Santana do Livramento
CURSO DE ENFERMAGEM,3,2,,,,1,Uruguaiana
CURSO DE FARMACIA,9,9,,,,,Uruguaiana
CURSO DE FISIOTERAPIA,6,6,,,,,Uruguaiana
