NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Tranferido,Classificado e não matriculado
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,1,1,,,
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,11,11,,,
CURSO DE CIENCIA DA COMPUTACAO,13,11,,1,1
CURSO DE ENGENHARIA CIVIL,10,4,1,4,1
CURSO DE ENGENHARIA ELETRICA,6,4,,,2
CURSO DE ENGENHARIA DE ALIMENTOS,6,3,1,2,
CURSO DE ENGENHARIA DE COMPUTACAO,8,8,,,
CURSO DE ENGENHARIA DE PRODUCAO,8,8,,,
CURSO DE ENGENHARIA QUIMICA,1,1,,,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,5,5,,,
CURSO DE LICENCIATURA EM FISICA,8,7,1,,
CURSO DE LICENCIATURA EM MATEMATICA,5,5,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,7,4,1,2,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,12,11,,1,
CURSO DE LICENCIATURA EM QUIMICA,7,7,,,
CURSO DE GEOFISICA,4,3,,,1
CURSO DE ZOOTECNIA,4,2,,,2
CURSO DE AGRONOMIA,3,3,,,
CURSO DE JORNALISMO,5,3,,,
CURSO DE PUBLICIDADE E PROPAGANDA,10,6,,2,2
CURSO DE SERVICO SOCIAL,10,9,,,1
CURSO DE ENGENHARIA FLORESTAL,4,4,,,
CURSO DE GESTAO AMBIENTAL,8,7,1,,
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - DIURNO,1,,,1,
CURSO DE ADMINISTRACAO - NOTURNO,1,,,,1
CURSO DE ENFERMAGEM,7,6,,,1
CURSO DE FARMACIA,14,6,,8,
CURSO DE FISIOTERAPIA,8,2,,4,2
