NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Transferido,Classificado e não matriculado,Falecimento
CURSO DE CIENCIA DA COMPUTACAO,10,6,1,3,,
CURSO DE ENGENHARIA CIVIL,11,4,3,4,,
CURSO DE ENGENHARIA ELETRICA,7,5,,2,,
CURSO DE ENGENHARIA MECANICA,1,,1,,,
CURSO DE ENGENHARIA DE ALIMENTOS,7,3,,5,,
CURSO DE ENGENHARIA DE COMPUTACAO,8,5,1,2,,
CURSO DE ENGENHARIA DE PRODUCAO,6,2,1,1,1,
CURSO DE ENGENHARIA QUIMICA,11,4,2,4,1,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,9,4,4,1,,
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,1,,1,,,
CURSO DE LICENCIATURA EM FISICA,8,5,2,1,,
CURSO DE LICENCIATURA EM MATEMATICA,13,8,3,1,1,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,10,8,1,1,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,5,3,1,1,,
CURSO DE LICENCIATURA EM QUIMICA,6,3,2,1,,
CURSO DE GEOFISICA,9,4,5,,,
CURSO SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIOS,1,,1,,,
CURSO DE ZOOTECNIA,5,4,,,1,
REGIME ESPECIAL DE GRADUACAO,5,,1,4,,
CURSO DE AGRONOMIA,4,4,,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,6,2,,3,,1
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,5,4,,1,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,9,9,,,,
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,1,,1,,,
CURSO DE JORNALISMO,9,3,2,3,,1
CURSO DE PUBLICIDADE E PROPAGANDA,7,6,,1,,
CURSO DE SERVICO SOCIAL,2,1,,1,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,1,,,1,,
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,5,5,,,,
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,2,,2,,,
CURSO DE BIOTECNOLOGIA,1,,1,,,
CURSO DE ENGENHARIA FLORESTAL,13,11,2,,,
CURSO DE GESTAO AMBIENTAL,16,15,1,,,
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - DIURNO,3,2,1,,,
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,2,1,,1,,
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,9,8,,1,,
CURSO DE ADMINISTRACAO - NOTURNO,7,6,1,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,1,,1,,,
CURSO DE RELACOES INTERNACIONAIS,2,,2,,,
CURSO DE EDUCACAO FISICA,4,3,1,,,
CURSO DE ENFERMAGEM,17,10,1,1,5,
CURSO DE FARMACIA,9,7,1,1,,
CURSO DE FISIOTERAPIA,14,7,1,6,,
CURSO DE MEDICINA VETERINARIA,1,1,,,,
