NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Transferido,Falecimento
CURSO DE CIENCIA DA COMPUTACAO,18,18,,,
CURSO DE ENGENHARIA CIVIL,18,6,,12,
,,,,,
CURSO DE ENGENHARIA ELETRICA,15,14,,1,
,,,,,
CURSO DE ENGENHARIA MECANICA,1,1,,,
CURSO DE ENGENHARIA DE ALIMENTOS,17,16,1,,
,,,,,
CURSO DE ENGENHARIA DE COMPUTACAO,17,17,,,
CURSO DE ENGENHARIA DE PRODUCAO,22,22,,,
CURSO DE ENGENHARIA QUIMICA,9,9,,,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,19,18,,1,
,,,,,
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,9,9,,,
CURSO DE LICENCIATURA EM FISICA,7,7,,,
CURSO DE LICENCIATURA EM MATEMATICA,10,9,,1,
,,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,6,6,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,15,14,1,,
,,,,,
CURSO DE LICENCIATURA EM QUIMICA,6,6,,,
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,1,1,,,
CURSO DE GEOFISICA,9,9,,,
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,4,4,,,
CURSO DE ZOOTECNIA,4,4,,,
REGIME ESPECIAL DE GRADUACAO,2,,2,,
CURSO DE AGRONOMIA,12,10,,2,
,,,,,
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,7,7,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,22,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,4,4,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,9,9,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,1,1,,,
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,12,12,,,
CURSO DE JORNALISMO,9,9,,,
CURSO DE PUBLICIDADE E PROPAGANDA,13,13,,,
CURSO DE SERVICO SOCIAL,3,3,,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA(111.UNI),3,3,,,
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,3,3,,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,1,1,,,
CURSO DE BIOTECNOLOGIA,5,5,,,
CURSO DE ENGENHARIA FLORESTAL,6,6,,,
CURSO DE GESTAO AMBIENTAL,15,14,,,
,,,1,,
CURSO DE ADMINISTRACAO - DIURNO,5,4,,,
,,,1,,
CURSO DE ADMINISTRACAO - NOTURNO,10,8,,1,1
,,,,,
,,,,,
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,1,1,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,3,3,,,
CURSO DE RELACOES INTERNACIONAIS,5,5,,,
CURSO DE EDUCACAO FISICA,1,1,,,
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,2,2,,,
