NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Transferido,Falecimento,Classificado e não matriculado
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA (COD.111.UNI),3,3,,,,
CURSO DE CIENCIA DA COMPUTACAO,19,17,1,1,,
CURSO DE ENGENHARIA AGRÍCOLA,1,,1,,,
CURSO DE ENGENHARIA CIVIL,12,11,,,1,
CURSO DE ENGENHARIA ELETRICA,11,10,,1,,
CURSO DE ENGENHARIA MECANICA,5,5,,,,
CURSO DE ENGENHARIA DE SOFTWARE,8,8,,,,
CURSO DE ENGENHARIA DE ALIMENTOS,16,14,,1,,
CURSO DE ENGENHARIA DE COMPUTACAO,18,14,2,,,2
CURSO DE ENGENHARIA DE PRODUCAO,22,20,1,1,,
CURSO DE ENGENHARIA QUIMICA,10,8,1,,,1
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,11,8,2,2,,
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,32,32,,,,
CURSO DE LICENCIATURA EM FISICA,8,6,1,,,
,,,,1,,
CURSO DE LICENCIATURA EM MATEMATICA,29,27,1,,,1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,8,8,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,8,8,,,,
CURSO DE LICENCIATURA EM QUIMICA,5,4,1,,,
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,6,5,1,,,
CURSO DE GEOFISICA,7,6,1,,,
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,1,1,,,,
CURSO SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIOS,14,14,,,,
CURSO DE ZOOTECNIA,12,10,2,,,
REGIME ESPECIAL DE GRADUACAO,24,24,,,,
CURSO DE AGRONOMIA,8,8,,,,
CURSO DE NUTRIÇÃO,3,3,,,,
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,11,11,,,,
CURSO DE LICENCIATURA EM HISTÓRIA,10,7,2,1,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,15,15,,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,22,21,,1,,
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,2,,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,9,9,,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO,2,2,,,,
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,11,9,,,,
CURSO DE JORNALISMO,7,7,,,,
CURSO DE PUBLICIDADE E PROPAGANDA,11,10,1,,,
CURSO DE SERVICO SOCIAL,5,5,,,,
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,9,9,,,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,5,5,,,,
CURSO DE BIOTECNOLOGIA,5,3,1,1,,
CURSO DE ENGENHARIA FLORESTAL,13,13,,,,
CURSO DE GESTAO AMBIENTAL,12,12,,,,
CURSO DE ADMINISTRACAO - DIURNO,10,7,3,,,
CURSO DE ADMINISTRACAO - NOTURNO,19,19,,,,
CURSO DE CIÊNCIAS ECONÔMICAS,1,1,,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,8,7,,,1,
CURSO DE RELACOES INTERNACIONAIS,14,14,,,,
CURSO DE EDUCACAO FISICA,1,1,,,,
CURSO DE ENFERMAGEM,8,5,2,1,,
CURSO DE FARMACIA,19,11,,8,,
CURSO DE FISIOTERAPIA,15,11,3,1,,
CURSO DE CIÊNCIAS DA NATUREZA - LICENCIATURA,11,11,,,,
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,16,16,,,,
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,10,10,,,,
CURSO DE MEDICINA VETERINARIA,7,6,,1,,
