NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Transferencia,Classificado e não matriculado,Campus
CURSO DE CIENCIA DA COMPUTACAO,6,,6,,,Alegrete
CURSO DE ENGENHARIA AGRÍCOLA,3,2,1,,,Alegrete
CURSO DE ENGENHARIA CIVIL,5,,3,2,,Alegrete
CURSO DE ENGENHARIA ELETRICA,8,,8,,,Alegrete
CURSO DE ENGENHARIA MECANICA,5,,5,,,Alegrete
CURSO DE ENGENHARIA DE SOFTWARE,2,,2,,,Alegrete
,1,,,1,,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,2,1,1,,,Bagé
CURSO DE ENGENHARIA DE PRODUCAO,1,,,,1,Bagé
CURSO DE ENGENHARIA QUIMICA,2,,1,1,,Bagé
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,1,,,1,,Bagé
CURSO DE LICENCIATURA EM FISICA,3,,3,,,Bagé
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,1,,1,,,Bagé
CURSO DE LICENCIATURA EM QUIMICA,3,,3,,,Bagé
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,3,,3,,,Caçapava do Sul
CURSO DE GEOLOGIA,1,,1,,,Caçapava do Sul
CURSO DE GEOFISICA,9,,7,2,,Caçapava do Sul
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,2,,2,,,Caçapava do Sul
CURSO DE ZOOTECNIA,1,,1,,,Dom Pedrito
REGIME ESPECIAL DE GRADUACAO,3,1,1,,1,Regime especial de Graduação
CURSO DE AGRONOMIA,1,,1,,,Itaqui
BACHARELADO INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA-DIURNO,2,,2,,,Itaqui
CURSO DE NUTRIÇÃO,2,,2,,,Itaqui
CURSO DE LICENCIATURA EM HISTÓRIA,3,,3,,,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,2,,2,,,Jaguarão
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,1,,1,,,São Borja
CURSO DE JORNALISMO,1,,1,,,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,1,,1,,,São Borja
CURSO DE RELAÇÕES PÚBLICAS,2,,2,,,São Borja
CURSO DE SERVICO SOCIAL,1,,1,,,São Borja
CURSO DE BIOTECNOLOGIA,5,,,5,,São Gabriel
CURSO DE ENGENHARIA FLORESTAL,3,,1,2,,São Gabriel
CURSO DE ADMINISTRACAO - DIURNO,3,,1,2,,Santana do Livramento
CURSO DE ENFERMAGEM,5,,5,,,Uruguaiana
CURSO DE FARMACIA,1,,1,,,Uruguaiana
CURSO DE FISIOTERAPIA,1,,1,,,Uruguaiana
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,1,,1,,,Uruguaiana
