NOME_CURSO,Nº de alunos,Abandono,Cancelamento,Desligamento,Campus
CURSO DE ENGENHARIA CIVIL,1,,1,,Alegrete
CURSO DE ENGENHARIA DE ALIMENTOS,2,,1,1,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,1,,1,,Bagé
CURSO DE ENGENHARIA DE PRODUCAO,2,,1,1,Bagé
CURSO DE ENGENHARIA QUIMICA,6,,2,4,Bagé
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,4,,2,2,Bagé
CURSO DE LICENCIATURA EM FISICA,5,,2,3,Bagé
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,2,,1,1,Bagé
CURSO DE LICENCIATURA EM QUIMICA,5,,,5,Bagé
CURSO DE GEOFISICA,6,,,6,Caçapava do Sul
CURSO DE ZOOTECNIA,3,,,3,Dom Pedrito
CURSO DE AGRONOMIA,1,,1,,Itaqui
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,2,,1,1,Jaguarão
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,4,,,4,Jaguarão
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,1,,,1,Jaguarão
CURSO DE PUBLICIDADE E PROPAGANDA,2,,2,,São Borja
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,1,1,,,Santana do Livramento
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,2,,,2,Santana do Livramento
