NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão
CURSO DE CIENCIA DA COMPUTACAO,18,Abandono=18
CURSO DE ENGENHARIA CIVIL,18,Abandono=6
,,Transferido=12
CURSO DE ENGENHARIA ELETRICA,15,Abandono=14
,,Transferido=1
CURSO DE ENGENHARIA MECANICA,1,Abandono=1
CURSO DE ENGENHARIA DE ALIMENTOS,17,Abandono=16
,,Cancelamento=1
CURSO DE ENGENHARIA DE COMPUTACAO,17,Abandono=17
CURSO DE ENGENHARIA DE PRODUCAO,22,Abandono=22
CURSO DE ENGENHARIA QUIMICA,9,Abandono=9
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,19,Abandono=18
,,Transferência=1
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,9,Abandono=9
CURSO DE LICENCIATURA EM FISICA,7,Abandono=7
CURSO DE LICENCIATURA EM MATEMATICA,10,Abandono=9
,,Transferência=1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,6,Abandono=6
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,15,Abandono=14
,,Cancelamento=1
CURSO DE LICENCIATURA EM QUIMICA,6,Abandono=6
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,1,Abandono=1
CURSO DE GEOFISICA,9,Abandono=9
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,4,Abandono=4
CURSO DE ZOOTECNIA,4,Abandono=4
REGIME ESPECIAL DE GRADUACAO,2,Cancelamento=2
CURSO DE AGRONOMIA,12,Abandono=10
,,Transferido=2
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,7,Abandono=7
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,Abandono=22
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,4,Abandono=4
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,9,Abandono=9
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,1,Abandono=1
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,12,Abandono=12
CURSO DE JORNALISMO,9,Abandono=9
CURSO DE PUBLICIDADE E PROPAGANDA,13,Abandono=13
CURSO DE SERVICO SOCIAL,3,Abandono=3
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA(111.UNI),3,Abandono=3
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,3,Abandono=3
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,1,Abandono=1
CURSO DE BIOTECNOLOGIA,5,Abandono=5
CURSO DE ENGENHARIA FLORESTAL,6,Abandono=6
CURSO DE GESTAO AMBIENTAL,15,Abandono=14
,,Desligamento=1
CURSO DE ADMINISTRACAO - DIURNO,5,Abandono=4
,,Cancelamento=1
CURSO DE ADMINISTRACAO - NOTURNO,10,Abandono=8
,,Falecimento=1
,,Transferido=1
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,1,Abandono=1
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,3,Abandono=3
CURSO DE RELACOES INTERNACIONAIS,5,Abandono=5
CURSO DE EDUCACAO FISICA,1,Abandono=1
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,2,Abandono=2
