NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão,Campus
CURSO DE CIENCIA DA COMPUTACAO,6,Cancelamento=6,Alegrete
CURSO DE ENGENHARIA AGRÍCOLA,3,Abandono=2,Alegrete
,,Cancelamento=1,Alegrete
CURSO DE ENGENHARIA CIVIL,5,Cancelamento=3,Alegrete
,,Transferência=2,Alegrete
CURSO DE ENGENHARIA ELETRICA,8,Cancelamento=8,Alegrete
CURSO DE ENGENHARIA MECANICA,5,Cancelamento=5,Alegrete
CURSO DE ENGENHARIA DE SOFTWARE,2,Cancelamento=2,Alegrete
,1,Transferência=1,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,2,Abandono=1,Bagé
,,Cancelamento=1,Bagé
CURSO DE ENGENHARIA DE PRODUCAO,1,Classificado e Não Matriculado=1,Bagé
CURSO DE ENGENHARIA QUIMICA,2,Cancelamento=1,Bagé
,,Transferência=1,Bagé
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,1,Transferência=1,Bagé
CURSO DE LICENCIATURA EM FISICA,3,Cancelamento=3,Bagé
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,1,Cancelamento=1,Bagé
CURSO DE LICENCIATURA EM QUIMICA,3,Cancelamento=3,Bagé
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,3,Cancelamento=3,Caçapava do Sul
CURSO DE GEOLOGIA,1,Cancelamento=1,Caçapava do Sul
CURSO DE GEOFISICA,9,Cancelamento=7,Caçapava do Sul
,,Transferência=2,Caçapava do Sul
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,2,Cancelamento=2,Caçapava do Sul
CURSO DE ZOOTECNIA,1,Cancelamento=1,Dom Pedrito
REGIME ESPECIAL DE GRADUACAO,3,Abandono=1,Regime especial de Graduação
,,Cancelamento=1,Regime especial de Graduação
,,Sem Matrícula=1,Regime especial de Graduação
CURSO DE AGRONOMIA,1,Cancelamento=1,Itaqui
BACHARELADO INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA-DIURNO,2,Cancelamento=2,Itaqui
CURSO DE NUTRIÇÃO,2,Cancelamento=2,Itaqui
CURSO DE LICENCIATURA EM HISTÓRIA,3,Cancelamento=3,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,2,Cancelamento=2,Jaguarão
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,1,Cancelamento=1,São Borja
CURSO DE JORNALISMO,1,Cancelamento=1,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,1,Cancelamento=1,São Borja
CURSO DE RELAÇÕES PÚBLICAS,2,Cancelamento=2,São Borja
CURSO DE SERVICO SOCIAL,1,Cancelamento=1,São Borja
CURSO DE BIOTECNOLOGIA,5,Transferência=5,São Gabriel
CURSO DE ENGENHARIA FLORESTAL,3,Cancelamento=1,São Gabriel
,,Transferência=2,São Gabriel
CURSO DE ADMINISTRACAO - DIURNO,3,Cancelamento=1,Santana do Livramento
,,Transferência=2,Santana do Livramento
CURSO DE ENFERMAGEM,5,Cancelamento=5,Uruguaiana
CURSO DE FARMACIA,1,Cancelamento=1,Uruguaiana
CURSO DE FISIOTERAPIA,1,Cancelamento=1,Uruguaiana
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,1,Cancelamento=1,Uruguaiana
