Evasão – 1º semestre de 2006,,,,,
NOME_CURSO,,Nº de alunos,Classificado e Não Matriculado,Nº por Campus,Campus
CURSO DE CIENCIA DA COMPUTACAO,,1,1,7,Alegrete
CURSO DE ENGENHARIA CIVIL,,4,4,,
CURSO DE ENGENHARIA ELETRICA,,2,2,,
CURSO DE AGRONOMIA,,1,1,1,Itaqui
CURSO DE JORNALISMO,,2,2,5,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,,2,2,,
CURSO DE SERVICO SOCIAL,,1,1,,
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,,5,5,10,São Gabriel
CURSO DE ENGENHARIA FLORESTAL,,1,1,,
CURSO DE GESTAO AMBIENTAL,,4,4,,
CURSO DE ENFERMAGEM,,1,1,8,Uruguaiana
CURSO DE FARMACIA,,3,3,,
CURSO DE FISIOTERAPIA,,4,4,,
TOTAL,,31,,,
