Evasão – 2º semestre de 2006,,,,,,,
NOME_CURSO,,Nº de alunos,Abandono,Cancelamento,Desligamento,Nº por Campus,Campus
CURSO DE ENGENHARIA CIVIL,,1,,1,,1,Alegrete
CURSO DE ENGENHARIA DE ALIMENTOS,,2,,1,1,27,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,,1,,1,,,
CURSO DE ENGENHARIA DE PRODUCAO,,2,,1,1,,
CURSO DE ENGENHARIA QUIMICA,,6,,2,4,,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,,4,,2,2,,
CURSO DE LICENCIATURA EM FISICA,,5,,2,3,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,,2,,1,1,,
CURSO DE LICENCIATURA EM QUIMICA,,5,,,5,,
CURSO DE GEOFISICA,,6,,,6,6,Caçapava do Sul
CURSO DE ZOOTECNIA,,3,,,3,3,Dom Pedrito
CURSO DE AGRONOMIA,,1,,1,,1,Itaqui
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,,2,,1,1,7,Jaguarão
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,,4,,,4,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,,1,,,1,,
CURSO DE PUBLICIDADE E PROPAGANDA,,2,,2,,4,São Borja
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,,1,1,,,5,Santana do Livramento
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,,2,,,2,,
TOTAL,,50,1,15,34,50,
