Evasão – 1º semestre de 2007,,,,,,,,,
NOME_CURSO,,Nº alunos,Abandono,Cancelamento,Classificado e Não Matriculado,Desligamento,Transferido,Nº por Campus,Campus
CURSO DE CIENCIA DA COMPUTACAO,,8,7,,1,,,26,Alegrete
CURSO DE ENGENHARIA CIVIL,,11,11,,,,,,
CURSO DE ENGENHARIA ELETRICA,,7,7,,,,,,
CURSO DE ENGENHARIA DE ALIMENTOS,,13,5,,,5,3,73,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,,12,7,2,,3,,,
CURSO DE ENGENHARIA DE PRODUCAO,,6,5,1,,,,,
CURSO DE ENGENHARIA QUIMICA,,6,5,,,1,,,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,,2,2,,,,,,
CURSO DE LICENCIATURA EM FISICA,,11,9,2,,,,,
CURSO DE LICENCIATURA EM MATEMATICA,,5,5,,,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,,4,2,,,2,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,,1,,,,1,,,
CURSO DE LICENCIATURA EM QUIMICA,,13,11,,,2,,,
CURSO DE GEOFISICA,,5,4,,,1,,5,Caçapava do Sul
CURSO DE ZOOTECNIA,,1,,,,1,,1,Dom Pedrito
CURSO DE AGRONOMIA,,10,10,,,,,10,Itaqui
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,,2,,,,2,,19,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,,7,7,,,,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,,8,6,1,,1,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,,2,2,,,,,,
CURSO DE JORNALISMO,,7,7,,,,,18,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,,7,7,,,,,,
CURSO DE SERVICO SOCIAL,,4,4,,,,,,
CURSO DE ENGENHARIA FLORESTAL,,9,9,,,,,28,São Gabriel
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM(128.UNI),,7,7,,,,,,
CURSO DE GESTAO AMBIENTAL,,12,12,,,,,,
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,,4,2,2,,,,10,Santana do Livramento
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,,6,4,2,,,,,
CURSO DE ENFERMAGEM,,3,2,,,,1,18,Uruguaiana
CURSO DE FARMACIA,,9,9,,,,,,
CURSO DE FISIOTERAPIA,,6,6,,,,,,
TOTAL,,208,174,10,1,19,4,208,
