Evasão – 2º semestre de 2007,,,,,,,,
NOME_CURSO,,Nº de alunos,Abandono,Cancelamento,Desligamento,Transferido,Nº por Campus,Campus
CURSO DE CIENCIA DA COMPUTACAO,,13,13,,,,30,Alegrete
CURSO DE ENGENHARIA CIVIL,,9,9,,,,,
CURSO DE ENGENHARIA ELETRICA,,8,7,,,1,,
CURSO DE ENGENHARIA DE ALIMENTOS,,7,6,1,,,99,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,,12,12,,,,,
CURSO DE ENGENHARIA DE PRODUCAO,,16,13,1,2,,,
CURSO DE ENGENHARIA QUIMICA,,5,4,,,1,,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,,6,6,,,,,
CURSO DE LICENCIATURA EM FISICA,,16,16,,,,,
CURSO DE LICENCIATURA EM MATEMATICA,,10,9,1,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,,8,8,,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,,11,10,1,,,,
CURSO DE LICENCIATURA EM QUIMICA,,8,8,,,,,
CURSO DE GEOFISICA,,4,4,,,,4,Caçapava do Sul
CURSO DE ZOOTECNIA,,4,3,1,,,4,Dom Pedrito
CURSO DE AGRONOMIA,,4,4,,,,4,Itaqui
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,,4,4,,,,19,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,,8,8,,,,,
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,,7,7,,,,,
CURSO DE JORNALISMO,,9,9,,,,30,São Borja
CURSO DE PUBLICIDADE E PROPAGANDA,,12,12,,,,,
CURSO DE SERVICO SOCIAL,,9,9,,,,,
CURSO DE ENGENHARIA FLORESTAL,,5,5,,,,16,São Gabriel
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,,3,3,,,,,
CURSO DE GESTAO AMBIENTAL,,8,8,,,,,
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - DIURNO,,2,2,,,,6,Santana do Livramento
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,,4,3,1,,,,
CURSO DE ENFERMAGEM,,1,,,,1,13,Uruguaiana
CURSO DE FARMACIA,,8,3,,,5,,
CURSO DE FISIOTERAPIA,,4,4,,,,,
TOTAL,,225,209,6,2,8,225,
