Evasão – 2º semestre de 2008,,
"Relação curso, nome de estudantes, forma de evasão e email",,
NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão
CURSO DE CIENCIA DA COMPUTACAO,23,Abandono=20
,,Classificado e não matriculado=1
,,Transferido=2
CURSO DE ENGENHARIA CIVIL,15,Abandono=11
,,Cancelamento=1
,,Classificado e não matriculado=1
,,Transferido=2
CURSO DE ENGENHARIA ELETRICA,11,Abandono=11
CURSO DE ENGENHARIA DE ALIMENTOS,10,Abandono=7
,,Cancelamento=1
,,Classificado e não matriculado=1
,,Transferido=1
CURSO DE ENGENHARIA DE COMPUTACAO,17,Abandono=15
,,Cancelamento=2
CURSO DE ENGENHARIA DE PRODUCAO,9,Abandono=9
CURSO DE ENGENHARIA QUIMICA,13,Abandono=11
,,Classificado e não matriculado=1
,,Transferido=1
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,8,Abandono=8
CURSO DE LICENCIATURA EM FISICA,12,Abandono=9
,,Classificado e não matriculado=2
,,Transferido=1
CURSO DE LICENCIATURA EM MATEMATICA,27,Abandono=26
,,Transferido=1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,8,Abandono=7
,,Classificado e não matriculado=1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,17,Abandono=13
,,Cancelamento=2
,,Classificado e não matriculado=1
,,Transferido=1
CURSO DE LICENCIATURA EM QUIMICA,7,Abandono=6
,,Classificado e não matriculado=1
CURSO DE GEOFISICA,2,Abandono=2
CURSO DE ZOOTECNIA,3,Abandono=3
REGIME ESPECIAL DE GRADUACAO,7,Abandono=2
,,Sem matrícula=5
CURSO DE AGRONOMIA,13,Abandono=6
,,Transferido=7
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,1,Transferido=1
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,16,Abandono=13
,,Transferido=3
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,11,Abandono=11
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,10,Abandono=10
CURSO DE JORNALISMO,8,Abandono=7
,,Classificado e não matriculado=1
CURSO DE PUBLICIDADE E PROPAGANDA,9,Abandono=5
,,Transferido=4
CURSO DE SERVICO SOCIAL,2,Abandono=2
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,3,Abandono=3
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,5,Abandono=5
CURSO DE ENGENHARIA FLORESTAL,16,Abandono=16
CURSO DE GESTAO AMBIENTAL,16,Abandono=16
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - DIURNO,3,Abandono=3
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - NOTURNO,2,Abandono=1
,,Transferido=1
CURSO DE ADMINISTRACAO - EMPRESAS - NOTURNO,4,Abandono=1
,,Transferido=3
CURSO DE ADMINISTRACAO - NOTURNO,2,Abandono=2
CURSO DE ENFERMAGEM,5,Abandono=5
CURSO DE FARMACIA,5,Abandono=4
,,Transferido=1
CURSO DE FISIOTERAPIA,8,Abandono=6
,,Transferido=2
TOTAL,328,Abandono
,,Cancelamento
,,Classificado e não matriculado
,,Sem matrícula
,,Transferido
