Evasão – 1º semestre de 2011,,,,,
Dados de evasão do período - 1º semestre de 2011,,,,,
NOME_CURSO,,Total de estudantes,Ocorrência/forma de evasão,Nº por Campus,Campus
CURSO DE CIENCIA DA COMPUTACAO,,6,Cancelamento=6,29,Alegrete
CURSO DE ENGENHARIA AGRÍCOLA,,3,Abandono=2,,
,,,Cancelamento=1,,
CURSO DE ENGENHARIA CIVIL,,5,Cancelamento=3,,
,,,Transferência=2,,
CURSO DE ENGENHARIA ELETRICA,,8,Cancelamento=8,,
CURSO DE ENGENHARIA MECANICA,,5,Cancelamento=5,,
CURSO DE ENGENHARIA DE SOFTWARE,,2,Cancelamento=2,,
,,1,Transferência=1,14,Bagé
CURSO DE ENGENHARIA DE COMPUTACAO,,2,Abandono=1,,
,,,Cancelamento=1,,
CURSO DE ENGENHARIA DE PRODUCAO,,1,Classificado e Não Matriculado=1,,
CURSO DE ENGENHARIA QUIMICA,,2,Cancelamento=1,,
,,,Transferência=1,,
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,,1,Transferência=1,,
CURSO DE LICENCIATURA EM FISICA,,3,Cancelamento=3,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,,1,Cancelamento=1,,
CURSO DE LICENCIATURA EM QUIMICA,,3,Cancelamento=3,,
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,,3,Cancelamento=3,15,Caçapava do Sul
CURSO DE GEOLOGIA,,1,Cancelamento=1,,
CURSO DE GEOFISICA,,9,Cancelamento=7,,
,,,Transferência=2,,
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,,2,Cancelamento=2,,
CURSO DE ZOOTECNIA,,1,Cancelamento=1,1,Dom Pedrito
REGIME ESPECIAL DE GRADUACAO,,3,Abandono=1,3,Regime especial de Graduação
,,,Cancelamento=1,,
,,,Sem Matrícula=1,,
CURSO DE AGRONOMIA,,1,Cancelamento=1,1,Itaqui
BACHARELADO INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA-DIURNO,,2,Cancelamento=2,2,
CURSO DE NUTRIÇÃO,,2,Cancelamento=2,2,
CURSO DE LICENCIATURA EM HISTÓRIA,,3,Cancelamento=3,3,Jaguarão
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,,2,Cancelamento=2,2,
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,,1,Cancelamento=1,1,São Borja
CURSO DE JORNALISMO,,1,Cancelamento=1,1,
CURSO DE PUBLICIDADE E PROPAGANDA,,1,Cancelamento=1,1,
CURSO DE RELAÇÕES PÚBLICAS,,2,Cancelamento=2,2,
CURSO DE SERVICO SOCIAL,,1,Cancelamento=1,1,
CURSO DE BIOTECNOLOGIA,,5,Transferência=5,8,São Gabriel
CURSO DE ENGENHARIA FLORESTAL,,3,Cancelamento=1,,
,,,Transferência=2,,
CURSO DE ADMINISTRACAO - DIURNO,,3,Cancelamento=1,3,Santana do Livramento
,,,Transferência=2,,
CURSO DE ENFERMAGEM,,5,Cancelamento=5,5,Uruguaiana
CURSO DE FARMACIA,,1,Cancelamento=1,1,
CURSO DE FISIOTERAPIA,,1,Cancelamento=1,1,
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,,1,Cancelamento=1,1,
TOTAL,,97,Abandono,,4
,,,Cancelamento,,75
,,,Classificado e Não Matriculado,,1
,,,Sem Matrícula,,1
,,,Transferência,,16
