campus,nível,nome do curso,modalidade,turno,alunos matriculados
Campus Alegrete,Graduação,Ciência da Computação,Bacharelado,Noturno,190
Campus Alegrete,Graduação,Engenharia Agrícola,Bacharelado,Integral,196
Campus Alegrete,Graduação,Engenharia Civil,Bacharelado,Integral,312
Campus Alegrete,Graduação,Engenharia de Software,Bacharelado,Noturno,181
Campus Alegrete,Graduação,Engenharia de Telecomunicações,Bacharelado,Integral,137
Campus Alegrete,Graduação,Engenharia Elétrica,Bacharelado,Integral,242
Campus Alegrete,Graduação,Engenharia Mecânica,Bacharelado,Integral,267
Campus Alegrete,Pós-Graduação,ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA,Especialização,Integral,26
Campus Alegrete,Pós-Graduação,Mestrado em Engenharia Elétrica,Mestrado,Integral,17
Campus Alegrete,Pós-Graduação,Mestrado em Engenharias,Mestrado,Integral,38
Campus Bagé,Graduação,Engenharia de Alimentos,Bacharelado,Integral,149
Campus Bagé,Graduação,Engenharia de Computação,Bacharelado,Noturno,242
Campus Bagé,Graduação,Engenharia de Energia,Bacharelado,Integral,138
Campus Bagé,Graduação,Engenharia de Energias Renováveis e Ambiente,Bacharelado,Integral,66
Campus Bagé,Graduação,Engenharia de Produção,Bacharelado,Noturno,282
Campus Bagé,Graduação,Engenharia Química,Bacharelado,Integral,282
Campus Bagé,Graduação,Física,Licenciatura Plena,Integral,118
Campus Bagé,Graduação,Letras - Habilitação Português e Literaturas de Língua Portuguesa,Licenciatura Plena,Noturno,30
Campus Bagé,Graduação,Letras - Habilitação Português/Espanhol e Respectivas Literaturas,Licenciatura Plena,Noturno,15
Campus Bagé,Graduação,Letras - Habilitação Português/Inglês e Respectivas Literaturas,Licenciatura Plena,Noturno,19
Campus Bagé,Graduação,Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas,Licenciatura Plena,Integral,115
Campus Bagé,Graduação,Letras - Português e Literaturas da Língua Portuguesa,Licenciatura Plena,Noturno,153
Campus Bagé,Graduação,Matemática,Licenciatura Plena,Noturno,194
Campus Bagé,Graduação,Música,Licenciatura Plena,Integral,69
Campus Bagé,Graduação,Química,Licenciatura Plena,Integral,129
Campus Bagé,Pós-Graduação,Mestrado Profissional em Ensino de Ciências,Mestrado,Integral,45
